position,eval
x-o--oxxo,-1
x-o--oxx-,1
x-o--oxox,1
x-o--ox-x,-1
x-o--ox--,1
x-o---xox,-1
x-o---xo-,1
x-o---xxo,1
x-o---x-o,1
x-o---x--,-1
x-ooo--xx,1
x-oo-o-xx,1
x-oo--oxx,1
x-oo---xx,-1
x-oo---x-,1
x-o-oo-xx,1
x-o-o-oxx,-1
x-o-o--xx,1
x-o-o--x-,1
x-o--ooxx,1
x-o--o-xx,-1
x-o--o-x-,1
x-o---oxx,1
x-o---ox-,1
x-o----xo,0
x-o----x-,0
x-oo----x,1
x-o-o---x,1
x-o--o--x,1
x-o---o-x,1
x-o----ox,1
x-o-----x,-1
x-o------,1
xxxoo----,-1
xxxooxo--,-1
xxxooxoxo,-1
xx-ooxoxo,1
xx-ooxox-,1
xxxooxoox,-1
xx-ooxoox,1
xx-ooxo-x,1
xx-ooxo--,1
xxxoox-o-,-1
xxxooxxoo,-1
xx-ooxxoo,1
xx-ooxxo-,0
xx-oox-ox,0
xx-oox-o-,1
xxxoox--o,-1
xx-ooxx-o,0
xx-oox-xo,0
xx-oox--o,1
xx-oox---,0
xx-ooox--,-1
xxxoo-xo-,-1
xx-oooxox,-1
xx-oo-xox,1
xx-oo-xo-,1
xxxoo-x-o,-1
xx-oooxxo,-1
xx-oo-xxo,1
xx-oo-x-o,1
xx-oo-x--,1
xx-ooo-x-,-1
xxxoo-ox-,-1
xx-ooooxx,-1
xx-oo-oxx,1
xx-oo-ox-,1
xxxoo--xo,-1
xx-oo--xo,1
xx-oo--x-,1
xx-ooo--x,-1
xxxoo-o-x,-1
xx-oo-o-x,1
xxxoo--ox,-1
xx-oo--ox,1
xx-oo---x,1
xx-oo----,1
xxxo-o---,-1
xxxoxoo--,-1
xx-oxoox-,-1
xx-oxoo-x,-1
xx-oxoo--,1
xxxoxo-o-,-1
xxxoxoxoo,-1
xx-oxoxoo,1
xx-oxoxo-,-1
xx-oxo-ox,-1
xx-oxo-o-,1
xxxoxo--o,-1
xx-oxox-o,1
xx-oxo-xo,-1
xx-oxo--o,1
xx-oxo---,-1
xxxo-oxo-,-1
xx-o-oxox,1
xx-o-oxo-,1
xxxo-ox-o,-1
xx-o-oxxo,1
xx-o-ox-o,1
xx-o-ox--,1
xxxo-oox-,-1
xx-o-ooxx,1
xx-o-oox-,1
xxxo-o-xo,-1
xx-o-o-xo,1
xx-o-o-x-,1
xxxo-oo-x,-1
xx-o-oo-x,1
xxxo-o-ox,-1
xx-o-o-ox,1
xx-o-o--x,1
xx-o-o---,1
xxxo--o--,-1
xxxox-oo-,-1
xx-oxxooo,-1
xx-oxxoo-,1
xx-ox-oox,-1
xx-ox-oo-,1
xxxox-o-o,-1
xx-oxxo-o,1
xx-ox-oxo,-1
xx-ox-o-o,1
xx-ox-o--,-1
xxxo-xoo-,-1
xx-o-xoox,-1
xx-o-xoo-,1
xxxo-xo-o,-1
xx-o-xoxo,-1
xx-o-xo-o,1
xx-o-xo--,-1
xxxo--oxo,-1
xx-o--oxo,1
xx-o--ox-,-1
xxxo--oox,-1
xx-o--oox,1
xx-o--o-x,-1
xx-o--o--,1
xxxo---o-,-1
xxxox--oo,-1
xx-oxx-oo,1
xx-ox-xoo,0
xx-ox--oo,1
xx-ox--o-,-1
xxxo-x-oo,-1
xx-o-xxoo,0
xx-o-x-oo,1
xx-o-x-o-,0
xxxo--xoo,-1
xx-o--xoo,1
xx-o--xo-,0
xx-o---ox,-1
xx-o---o-,1
xxxo----o,-1
xx-ox---o,-1
xx-o-x--o,0
xx-o--x-o,0
xx-o---xo,-1
xx-o----o,1
xx-o-----,-1
x-xooxoxo,1
x-xooxox-,-1
x-xooxo-x,-1
x-xooxo--,1
x-xooxxoo,1
x-xooxxo-,1
x-xoox-ox,-1
x-xoox-o-,1
x-xooxx-o,0
x-xoox-xo,0
x-xoox--o,1
x-xoox---,-1
x-xooox--,-1
x-xoooxox,-1
x-xoo-xox,1
x-xoo-xo-,1
x-xoooxxo,-1
x-xoo-xxo,1
x-xoo-x-o,1
x-xoo-x--,1
x-xooo-x-,-1
x-xooooxx,-1
x-xoo-oxx,1
x-xoo-ox-,1
x-xoo--xo,1
x-xoo--x-,1
x-xooo--x,-1
x-xoo-o-x,1
x-xoo--ox,1
x-xoo---x,1
x-xoo----,1
xxxoxooxo,-1
x-xoxooxo,1
x-xoxoox-,-1
x-xoxoo-x,-1
x-xoxoo--,1
x-xoxoxo-,-1
x-xoxo-ox,-1
x-xoxo-o-,1
x-xoxox-o,-1
x-xoxo-xo,-1
x-xoxo--o,1
x-xoxo---,-1
x-xo-oxox,1
x-xo-oxo-,1
x-xo-oxxo,1
x-xo-ox-o,1
x-xo-ox--,1
x-xo-ooxx,1
x-xo-oox-,1
x-xo-o-xo,1
x-xo-o-x-,1
x-xo-oo-x,1
x-xo-o-ox,1
x-xo-o--x,1
x-xo-o---,1
x-xoxxooo,-1
x-xoxxoo-,1
x-xox-oox,-1
x-xox-oo-,1
x-xoxxo-o,1
x-xox-oxo,0
x-xox-o-o,1
x-xox-o--,-1
x-xo-xoox,-1
x-xo-xoo-,1
x-xo-xoxo,0
x-xo-xo-o,1
x-xo-xo--,-1
x-xo--oxo,1
x-xo--ox-,-1
x-xo--oox,1
x-xo--o-x,-1
x-xo--o--,1
x-xoxx-oo,1
x-xox-xoo,-1
x-xox--oo,1
x-xox--o-,-1
x-xo-xxoo,-1
x-xo-x-oo,1
x-xo-x-o-,-1
x-xo--xoo,1
x-xo--xo-,-1
x-xo---ox,-1
x-xo---o-,1
x-xox---o,-1
x-xo-x--o,0
x-xo--x-o,-1
x-xo---xo,0
x-xo----o,1
x-xo-----,-1
x--oxoxox,-1
x--oxoxo-,1
x--oxoxxo,1
x--oxox-o,1
x--oxox--,-1
x--oxooxx,-1
x--oxoox-,1
x--oxo-xo,1
x--oxo-x-,-1
x--oxo--x,-1
x--oxo---,1
x--oxxoox,-1
x--oxxoo-,1
x--oxxoxo,0
x--oxxo-o,0
x--oxxo--,0
x--ox-oxo,1
x--ox-ox-,-1
x--ox-o-x,-1
x--ox-o--,1
x--oxxxoo,0
x--oxx-oo,0
x--oxx-o-,0
x--ox-xoo,1
x--ox-xo-,-1
x--ox--ox,-1
x--ox--o-,1
x--oxx--o,0
x--ox-x-o,0
x--ox--xo,0
x--ox---o,1
x--ox----,-1
x--ooxxox,1
x--ooxxo-,0
x--ooxxxo,0
x--ooxx-o,0
x--ooxx--,0
x--ooxoxx,1
x--ooxox-,1
x--oox-xo,0
x--oox-x-,0
x--ooxo-x,1
x--oox-ox,1
x--oox--x,0
x--oox---,1
x--o-xoxo,1
x--o-xox-,-1
x--o-xoox,1
x--o-xo-x,-1
x--o-xo--,1
x--o-xxoo,1
x--o-xxo-,0
x--o-x-ox,-1
x--o-x-o-,1
x--o-xx-o,0
x--o-x-xo,0
x--o-x--o,0
x--o-x---,0
x--oooxx-,-1
x--oo-xxo,0
x--oo-xx-,1
x--ooox-x,-1
x--oo-xox,-1
x--oo-x-x,1
x--oo-x--,0
x--o-oxxo,-1
x--o-oxx-,1
x--o-oxox,1
x--o-ox-x,1
x--o-ox--,1
x--o--xox,1
x--o--xo-,1
x--o--xxo,1
x--o--x-o,1
x--o--x--,0
x--ooo-xx,-1
x--oo-oxx,-1
x--oo--xx,1
x--oo--x-,0
x--o-ooxx,1
x--o-o-xx,1
x--o-o-x-,1
x--o--oxx,1
x--o--ox-,1
x--o---xo,1
x--o---x-,0
x--oo---x,0
x--o-o--x,1
x--o--o-x,1
x--o---ox,1
x--o----x,0
x--o-----,1
xxx-oo---,-1
xxxxooo--,-1
xxxxoooxo,-1
xx-xoooxo,1
xx-xooox-,1
xxxxoooox,-1
xx-xoooox,1
xx-xooo-x,1
xx-xooo--,1
xxxxoo-o-,-1
xx-xooxo-,-1
xx-xoo-ox,-1
xx-xoo-o-,1
xxxxoo--o,-1
xx-xoox-o,-1
xx-xoo-xo,1
xx-xoo--o,1
xx-xoo---,-1
xxx-ooxo-,-1
xx--ooxox,1
xx--ooxo-,1
xxx-oox-o,-1
xx--ooxxo,1
xx--oox-o,1
xx--oox--,1
xxx-ooox-,-1
xx--oooxx,1
xx--ooox-,1
xxx-oo-xo,-1
xx--oo-xo,1
xx--oo-x-,1
xxx-ooo-x,-1
xx--ooo-x,1
xxx-oo-ox,-1
xx--oo-ox,1
xx--oo--x,1
xx--oo---,1
xxx-o-o--,-1
xxxxo-oo-,-1
xx-xoxooo,-1
xx-xoxoo-,1
xx-xo-oox,1
xx-xo-oo-,1
xxxxo-o-o,-1
xx-xoxo-o,1
xx-xo-oxo,1
xx-xo-o-o,1
xx-xo-o--,1
xxx-oxoo-,-1
xx--oxoox,1
xx--oxoo-,1
xxx-oxo-o,-1
xx--oxoxo,1
xx--oxo-o,1
xx--oxo--,1
xxx-o-oxo,-1
xx--o-oxo,1
xx--o-ox-,1
xxx-o-oox,-1
xx--o-oox,1
xx--o-o-x,1
xx--o-o--,1
xxx-o--o-,-1
xxxxo--oo,-1
xx-xox-oo,1
xx-xo-xoo,-1
xx-xo--oo,1
xx-xo--o-,-1
xxx-ox-oo,-1
xx--oxxoo,-1
xx--ox-oo,1
xx--ox-o-,0
xxx-o-xoo,-1
xx--o-xoo,1
xx--o-xo-,-1
xx--o--ox,0
xx--o--o-,1
xxx-o---o,-1
xx-xo---o,-1
xx--ox--o,0
xx--o-x-o,-1
xx--o--xo,1
xx--o---o,1
xx--o----,0
x-xxoooxo,1
x-xxooox-,0
x-xxoooox,1
x-xxooo-x,0
x-xxooo--,1
x-xxooxo-,-1
x-xxoo-ox,1
x-xxoo-o-,1
x-xxoox-o,-1
x-xxoo-xo,-1
x-xxoo--o,1
x-xxoo---,-1
x-x-ooxox,1
x-x-ooxo-,1
x-x-ooxxo,1
x-x-oox-o,1
x-x-oox--,1
x-x-oooxx,1
x-x-ooox-,1
x-x-oo-xo,1
x-x-oo-x-,1
x-x-ooo-x,1
x-x-oo-ox,1
x-x-oo--x,1
x-x-oo---,1
x-xxoxooo,-1
x-xxoxoo-,1
x-xxo-oox,1
x-xxo-oo-,1
x-xxoxo-o,1
x-xxo-oxo,0
x-xxo-o-o,1
x-xxo-o--,0
x-x-oxoox,-1
x-x-oxoo-,1
x-x-oxoxo,0
x-x-oxo-o,1
x-x-oxo--,-1
x-x-o-oxo,1
x-x-o-ox-,0
x-x-o-oox,1
x-x-o-o-x,-1
x-x-o-o--,1
x-xxox-oo,1
x-xxo-xoo,-1
x-xxo--oo,1
x-xxo--o-,1
x-x-oxxoo,1
x-x-ox-oo,1
x-x-ox-o-,1
x-x-o-xoo,1
x-x-o-xo-,1
x-x-o--ox,1
x-x-o--o-,1
x-xxo---o,-1
x-x-ox--o,0
x-x-o-x-o,-1
x-x-o--xo,0
x-x-o---o,1
x-x-o----,0
x--xoox--,-1
x--xoooxx,1
x--xooox-,0
x--xooxxo,-1
x--xoo-xo,1
x--xoo-x-,0
x--xooo-x,0
x--xooxox,-1
x--xoo-ox,1
x--xoo--x,0
x--xoo---,1
x--xoxoox,1
x--xoxoo-,-1
x--xoxoxo,1
x--xoxo-o,-1
x--xoxo--,1
x--xo-oxo,0
x--xo-ox-,1
x--xo-oox,-1
x--xo-o-x,1
x--xo-o--,0
x--xoxxoo,-1
x--xox-oo,1
x--xox-o-,1
x--xo-xo-,-1
x--xo--ox,1
x--xo--o-,1
x--xox--o,1
x--xo-x-o,-1
x--xo--xo,0
x--xo---o,1
x--xo----,0
x---oxoxo,0
x---oxox-,1
x---oxoox,1
x---oxo-x,1
x---oxo--,1
x---oxxoo,1
x---oxxo-,1
x---ox-ox,1
x---ox-o-,0
x---oxx-o,0
x---ox-xo,0
x---ox--o,0
x---ox---,0
x---ooxxo,1
x---ooxx-,1
x---ooxox,1
x---oox-x,1
x---oox--,1
x---o-xox,1
x---o-xo-,1
x---o-xxo,0
x---o-x-o,1
x---o-x--,0
x---oooxx,-1
x---oo-xx,1
x---oo-x-,0
x---o-oxx,1
x---o-ox-,0
x---o--xo,0
x---o--x-,0
x---oo--x,0
x---o-o-x,1
x---o--ox,0
x---o---x,0
x---o----,0
xxx--oo--,-1
xxxx-ooo-,-1
xx-xxoooo,-1
xx-xxooo-,1
xx-x-ooox,-1
xx-x-ooo-,1
xxxx-oo-o,-1
xx-xxoo-o,1
xx-x-ooxo,1
xx-x-oo-o,1
xx-x-oo--,1
xxx-xooo-,-1
xx--xooox,-1
xx--xooo-,1
xxx-xoo-o,-1
xx--xooxo,-1
xx--xoo-o,1
xx--xoo--,-1
xxx--ooxo,-1
xx---ooxo,1
xx---oox-,-1
xxx--ooox,-1
xx---ooox,1
xx---oo-x,-1
xx---oo--,1
xxx--o-o-,-1
xxxx-o-oo,-1
xx-xxo-oo,1
xx-x-oxoo,-1
xx-x-o-oo,1
xx-x-o-o-,-1
xxx-xo-oo,-1
xx--xoxoo,1
xx--xo-oo,1
xx--xo-o-,-1
xxx--oxoo,-1
xx---oxoo,1
xx---oxo-,-1
xx---o-ox,-1
xx---o-o-,1
xxx--o--o,-1
xx-x-o--o,1
xx--xo--o,1
xx---ox-o,1
xx---o-xo,1
xx---o--o,1
xx---o---,1
x-xxxoooo,-1
x-xxxooo-,1
x-xx-ooox,-1
x-xx-ooo-,1
x-xxxoo-o,1
x-xx-ooxo,0
x-xx-oo-o,1
x-xx-oo--,0
x-x-xooox,-1
x-x-xooo-,1
x-x-xooxo,0
x-x-xoo-o,1
x-x-xoo--,-1
x-x--ooxo,1
x-x--oox-,0
x-x--ooox,1
x-x--oo-x,-1
x-x--oo--,1
x-xxxo-oo,1
x-xx-oxoo,-1
x-xx-o-oo,1
x-xx-o-o-,-1
x-x-xoxoo,-1
x-x-xo-oo,1
x-x-xo-o-,-1
x-x--oxoo,1
x-x--oxo-,-1
x-x--o-ox,-1
x-x--o-o-,1
x-xx-o--o,-1
x-x-xo--o,-1
x-x--ox-o,-1
x-x--o-xo,-1
x-x--o--o,1
x-x--o---,-1
x--xxooox,-1
x--xxooo-,1
x--xxooxo,1
x--xxoo-o,-1
x--xxoo--,1
x--x-ooxo,0
x--x-oox-,1
x--x-ooox,1
x--x-oo-x,0
x--x-oo--,0
x--xxoxoo,-1
x--xxo-oo,1
x--xxo-o-,-1
x--x-oxo-,-1
x--x-o-ox,-1
x--x-o-o-,1
x--xxo--o,1
x--x-ox-o,-1
x--x-o-xo,1
x--x-o--o,1
x--x-o---,0
x---xooxo,1
x---xoox-,-1
x---xoo-x,-1
x---xoo--,1
x---xoxoo,1
x---xoxo-,-1
x---xo-ox,-1
x---xo-o-,1
x---xox-o,1
x---xo-xo,1
x---xo--o,1
x---xo---,-1
x----oxox,-1
x----oxo-,1
x----oxxo,1
x----ox-o,1
x----ox--,-1
x----ooxx,1
x----oox-,1
x----o-xo,1
x----o-x-,0
x----oo-x,1
x----o-ox,1
x----o--x,0
x----o---,1
xxx---oo-,-1
xx-x--ooo,-1
xx-x--oo-,1
xx--x-ooo,-1
xx--x-oo-,1
xx---xooo,-1
xx---xoo-,1
xx----oox,-1
xx----oo-,1
xxx---o-o,-1
xx-x--o-o,1
xx--x-o-o,1
xx---xo-o,1
xx----oxo,-1
xx----o-o,1
xx----o--,-1
x-xx--ooo,-1
x-xx--oo-,1
x-x-x-ooo,-1
x-x-x-oo-,1
x-x--xooo,-1
x-x--xoo-,1
x-x---oox,-1
x-x---oo-,1
x-xx--o-o,1
x-x-x-o-o,1
x-x--xo-o,1
x-x---oxo,0
x-x---o-o,1
x-x---o--,-1
x--xx-ooo,-1
x--xx-oo-,1
x--x-xooo,-1
x--x-xoo-,1
x--x--oox,1
x--x--oo-,-1
x--xx-o-o,1
x--x-xo-o,1
x--x--oxo,1
x--x--o-o,-1
x--x--o--,1
x---xxooo,-1
x---xxoo-,1
x---x-oox,-1
x---x-oo-,1
x---xxo-o,1
x---x-oxo,0
x---x-o-o,0
x---x-o--,0
x----xoox,-1
x----xoo-,1
x----xoxo,0
x----xo-o,0
x----xo--,0
x-----oxo,1
x-----ox-,0
x-----oox,1
x-----o-x,-1
x-----o--,1
xxx----oo,-1
xx-x---oo,1
xx--x--oo,1
xx---x-oo,1
xx----xoo,-1
xx-----oo,1
xx-----o-,0
x-xx---oo,1
x-x-x--oo,1
x-x--x-oo,1
x-x---xoo,-1
x-x----oo,1
x-x----o-,-1
x--xx--oo,1
x--x-x-oo,1
x--x--xoo,-1
x--x---oo,1
x--x---o-,1
x---xx-oo,1
x---x-xoo,-1
x---x--oo,1
x---x--o-,-1
x----xxoo,-1
x----x-oo,1
x----x-o-,0
x-----xoo,1
x-----xo-,-1
x------ox,0
x------o-,1
xx------o,1
x-x-----o,-1
x--x----o,1
x---x---o,0
x----x--o,0
x-----x-o,-1
x------xo,0
x-------o,1
x--------,0
oxxoxox--,-1
oxxoxo-x-,-1
oxxoxoo-x,-1
oxxoxoxox,-1
oxxoxo-ox,1
oxxoxo--x,1
oxxoxo---,1
oxxox-o--,-1
oxxoxxoo-,-1
oxxoxxxoo,-1
oxxoxx-oo,1
oxxoxx-o-,1
oxxox-xo-,-1
oxxox-oox,-1
oxxox--ox,1
oxxox--o-,1
oxxoxxo-o,-1
oxxoxx--o,1
oxxox-x-o,-1
oxxox--xo,-1
oxxox---o,1
oxxox----,1
oxxooxxox,-1
oxxooxxo-,1
oxxooxx-o,-1
oxxooxx--,1
oxxooxox-,-1
oxxoox-xo,-1
oxxoox-x-,1
oxxoox--x,-1
oxxoox---,1
oxxo-xo--,-1
oxxo-xxoo,1
oxxo-xxo-,-1
oxxo-x-ox,-1
oxxo-x-o-,1
oxxo-xx-o,1
oxxo-xoxo,-1
oxxo-x-xo,1
oxxo-x--o,-1
oxxo-x---,1
oxxoooxx-,-1
oxxoo-xxo,-1
oxxoo-xx-,1
oxxooox-x,-1
oxxoo-xox,1
oxxoo-x-x,1
oxxoo-x--,-1
oxxoxoxxo,-1
oxxo-oxxo,1
oxxo-oxx-,1
oxxo-oxox,1
oxxo-ox-x,1
oxxo-ox--,1
oxxo--xox,-1
oxxo--xo-,1
oxxo--xxo,1
oxxo--x-o,1
oxxo--x--,1
oxxooo-xx,-1
oxxoo-oxx,-1
oxxoo--xx,1
oxxoo--x-,-1
oxxo-ooxx,-1
oxxo-o-xx,1
oxxo-o-x-,1
oxxo--ox-,-1
oxxo---xo,1
oxxo---x-,1
oxxoo---x,1
oxxo-o--x,-1
oxxo--o-x,-1
oxxo---ox,1
oxxo----x,1
oxxo-----,-1
oxxxooxox,0
oxxxooxo-,0
oxxxoox-o,-1
oxxxoox--,1
oxxxoooxx,0
oxxxooox-,0
oxxxoo-xo,-1
oxxxoo-x-,1
oxxxooo-x,0
oxxxoo-ox,0
oxxxoo--x,0
oxxxoo---,0
oxxxoxoox,-1
oxxxoxoo-,1
oxxxoxo-o,-1
oxxxoxo--,1
oxxxo-oxo,-1
oxxxo-ox-,1
oxxxo-oox,1
oxxxo-o-x,0
oxxxo-o--,0
oxxxox-oo,-1
oxxxox-o-,1
oxxxo-xoo,-1
oxxxo-xo-,1
oxxxo--ox,0
oxxxo--o-,0
oxxxo---o,-1
oxxxo----,1
oxx-oxoxo,-1
oxx-oxox-,1
oxx-oxo-x,-1
oxx-oxo--,1
oxx-oxxoo,-1
oxx-oxxo-,1
oxx-ox-ox,-1
oxx-ox-o-,1
oxx-ox--o,-1
oxx-ox---,1
oxx-ooxxo,-1
oxx-ooxx-,1
oxx-ooxox,0
oxx-oox-x,1
oxx-oox--,-1
oxx-o-xox,0
oxx-o-xo-,0
oxx-o-x-o,-1
oxx-o-x--,1
oxx-oooxx,0
oxx-oo-xx,1
oxx-oo-x-,-1
oxx-o-oxx,1
oxx-o-ox-,-1
oxx-o--xo,-1
oxx-o--x-,1
oxx-oo--x,0
oxx-o-o-x,1
oxx-o--ox,1
oxx-o---x,0
oxx-o----,0
oxxxxooox,0
oxxxxooo-,0
oxxxxooxo,-1
oxxxxoo-o,1
oxxxxoo--,0
oxxx-ooxo,1
oxxx-oox-,0
oxxx-ooox,0
oxxx-oo-x,0
oxxx-oo--,0
oxxxxoxoo,-1
oxxxxo-oo,1
oxxxxo-o-,0
oxxx-oxoo,1
oxxx-oxo-,0
oxxx-o-ox,0
oxxx-o-o-,0
oxxxxo--o,-1
oxxx-ox-o,1
oxxx-o-xo,1
oxxx-o--o,1
oxxx-o---,0
oxx-xoox-,-1
oxx-xooox,0
oxx-xoo-x,1
oxx-xoo--,1
oxx-xoxo-,-1
oxx-xo-ox,0
oxx-xo-o-,1
oxx-xox-o,-1
oxx-xo-xo,-1
oxx-xo--o,1
oxx-xo---,-1
oxx--oxox,0
oxx--oxo-,1
oxx--oxxo,1
oxx--ox-o,1
oxx--ox--,1
oxx--ooxx,1
oxx--oox-,1
oxx--o-xo,1
oxx--o-x-,1
oxx--oo-x,0
oxx--o-ox,0
oxx--o--x,1
oxx--o---,1
oxxxx-ooo,-1
oxxxx-oo-,1
oxxx-xooo,-1
oxxx-xoo-,1
oxxx--oox,0
oxxx--oo-,0
oxxxx-o-o,1
oxxx-xo-o,1
oxxx--oxo,1
oxxx--o-o,-1
oxxx--o--,1
oxx-xxooo,-1
oxx-xxoo-,1
oxx-x-oox,1
oxx-x-oo-,-1
oxx-xxo-o,1
oxx-x-oxo,-1
oxx-x-o-o,1
oxx-x-o--,1
oxx--xoox,-1
oxx--xoo-,1
oxx--xoxo,1
oxx--xo-o,-1
oxx--xo--,1
oxx---oxo,1
oxx---ox-,1
oxx---oox,1
oxx---o-x,1
oxx---o--,-1
oxxxx--oo,1
oxxx-x-oo,1
oxxx--xoo,1
oxxx---oo,-1
oxxx---o-,1
oxx-xx-oo,1
oxx-x-xoo,-1
oxx-x--oo,1
oxx-x--o-,1
oxx--xxoo,1
oxx--x-oo,-1
oxx--x-o-,1
oxx---xoo,1
oxx---xo-,0
oxx----ox,0
oxx----o-,0
oxxx----o,1
oxx-x---o,-1
oxx--x--o,1
oxx---x-o,1
oxx----xo,1
oxx-----o,1
oxx------,1
oxoxxoxox,0
oxoxxoxo-,0
oxoxxox-o,-1
oxoxxox--,1
oxoxxo-x-,-1
oxoxxooxx,-1
oxoxxoo-x,1
oxoxxo-ox,0
oxoxxo--x,0
oxoxxo---,1
oxoxxxo--,-1
oxoxx-ox-,-1
oxoxxxoox,-1
oxoxx-oox,1
oxoxx-o-x,-1
oxoxx-o--,1
oxoxxx-o-,-1
oxoxxxxoo,-1
oxoxx-xoo,1
oxoxx-xo-,0
oxoxx--ox,0
oxoxx--o-,1
oxoxxx--o,-1
oxoxx-x-o,1
oxoxx--xo,-1
oxoxx---o,1
oxoxx----,-1
oxoxoxxox,0
oxoxoxxo-,0
oxoxoxx-o,-1
oxoxoxx--,1
oxoxoxox-,-1
oxoxox-xo,-1
oxoxox-x-,1
oxoxoxo-x,-1
oxoxox-ox,0
oxoxox--x,1
oxoxox---,-1
oxoxxxoxo,-1
oxox-xoxo,1
oxox-xox-,1
oxox-xoox,1
oxox-xo-x,1
oxox-xo--,1
oxox-xxoo,1
oxox-xxo-,0
oxox-x-ox,0
oxox-x-o-,1
oxox-xx-o,1
oxox-x-xo,1
oxox-x--o,1
oxox-x---,1
oxoxooxxx,-1
oxoxooxx-,1
oxoxo-xxo,-1
oxoxo-xx-,1
oxoxoox-x,1
oxoxo-xox,0
oxoxo-x-x,0
oxoxo-x--,0
oxox-oxxo,-1
oxox-oxx-,1
oxox-oxox,0
oxox-ox-x,0
oxox-ox--,0
oxox--xox,0
oxox--xo-,0
oxox--xxo,1
oxox--x-o,-1
oxox--x--,1
oxoxoo-xx,1
oxoxo-oxx,-1
oxoxo--xx,1
oxoxo--x-,-1
oxox-ooxx,1
oxox-o-xx,-1
oxox-o-x-,1
oxox--oxx,1
oxox--ox-,1
oxox---xo,1
